"creator","profile_url","found","already_exist","to_upload"
"Achim Gersmann","https://artaurea.de/profiles/gersmann-achim/","10","10","0"
"Aino Nebel","https://artaurea.de/profiles/nebel-aino/","16","16","0"
"Angela Huebel","https://artaurea.com/profiles/huebel-angela/","33","32","0"
"Anne Fischer","https://artaurea.de/profiles/fischer-anne/","17","17","0"
"Anne Ute Kaden","https://artaurea.de/profiles/kaden-anne-ute/","16","16","0"
"Babette von Dohnanyi","https://artaurea.de/profiles/dohnanyi-babette-von/","9","9","0"
"Barbara Nanning","https://artaurea.de/profiles/nanning-barbara/","18","18","0"
"Batho Gündra","https://artaurea.de/profiles/guendra-batho/","9","9","0"
"Beate Eismann","https://artaurea.de/profiles/eismann-beate/","13","13","0"
"Bernard Heesen","https://artaurea.de/profiles/heesen-bernard-2/","16","16","0"
"Bettina Geistlich","https://artaurea.de/profiles/geistlich-bettina/","7","7","0"
"Carl Dau","https://artaurea.de/profiles/dau-carl/","23","23","0"
"Christof Lungwitz","https://artaurea.de/profiles/lungwitz-christof/","10","10","0"
"Claudia Hoppe","https://artaurea.de/profiles/hoppe-claudia/","29","28","0"
"Corinna Heller","https://artaurea.de/profiles/heller-corinna/","14","14","0"
"Deok Ho Kim","https://artaurea.de/profiles/kim-deok-ho-2/","10","10","0"
"Dominique Labordery","https://artaurea.de/profiles/labordery-dominique-2/","10","10","0"
"Dong-Hyun Kim","https://artaurea.de/profiles/kim-dong-hyun/","13","13","0"
"Dorothea Brill","https://artaurea.de/profiles/brill-dorothea/","24","24","0"
"Felicia Mülbaier","https://artaurea.de/profiles/muelbaier-felicia/","13","13","0"
"Felix Mueller","https://artaurea.de/profiles/mueller-felix/","10","10","0"
"Fine Light","https://artaurea.de/profiles/fine-light/","17","17","0"
"Friedemann Buehler","https://artaurea.de/profiles/buehler-friedemann/","17","17","0"
"Friedrich Becker","https://artaurea.de/profiles/becker-friedrich/","5","5","0"
"Gigi Mariani","https://artaurea.de/profiles/mariani-gigi/","20","20","0"
"Gottfried Palatin","https://artaurea.de/profiles/palatin-gottfried/","9","9","0"
"Hans Coper","https://artaurea.de/profiles/coper-hans/","6","5","0"
"Heide Nonnenmacher","https://artaurea.de/profiles/nonnenmacher-heide/","15","14","0"
"Henrich & Denzel","https://artaurea.de/profiles/henrich-denzel/","20","19","0"
"In Hwa Lee","https://artaurea.de/profiles/lee-in-hwa/","18","18","0"
"Iris Merkle","https://artaurea.de/profiles/merkle-iris/","16","15","0"
"Isezaki Jun","https://artaurea.de/profiles/jun-isezaki/","9","9","0"
"Jeong Won Lee","https://artaurea.de/profiles/lee-jeong-won/","16","16","0"
"Johanna Otto","https://artaurea.de/profiles/otto-johanna/","12","12","0"
"Johannes Nagel","https://artaurea.de/profiles/nagel-johannes/","12","12","0"
"Joo Hyung Park","https://artaurea.de/profiles/park-joo-hyung/","16","16","0"
"Josephine Lützel","https://artaurea.de/profiles/luetzel-josephine/","11","11","0"
"Kap Sun Hwang","https://artaurea.de/profiles/hwang-kap-sun/","5","5","0"
"Kay Eppi Nölke","https://artaurea.de/profiles/noelke-kay-eppi/","20","20","0"
"Koichi Io","https://artaurea.de/profiles/io-koichi/","9","9","0"
"Kristiina Karinen","https://artaurea.de/profiles/karinen-kristiina/","15","15","0"
"Leen Heyne","https://artaurea.de/profiles/heyne-leen/","18","17","0"
"Lut Laleman","https://artaurea.de/profiles/laleman-lut/","5","5","0"
"Manu Schmuck","https://artaurea.de/profiles/manu-schmuck/","22","20","0"
"Martina Dempf","https://artaurea.de/profiles/dempf-martina/","16","16","0"
"Morten Lobner Espersen","https://artaurea.de/profiles/lobner-espersen-morten/","17","17","0"
"Niessing Wedding Rings","https://artaurea.com/profiles/niessing-wedding-rings/","21","20","0"
"Patrizia Bonati","https://artaurea.de/profiles/bonati-patrizia/","14","14","0"
"Ria Lins","https://artaurea.de/profiles/lins-ria/","30","30","0"
"Ritsue Mishima","https://artaurea.de/profiles/mishima-ritsue-2/","14","14","0"
"Sabine Lintzen","https://artaurea.de/profiles/lintzen-sabine/","19","19","0"
"Sabine Müller","https://artaurea.de/profiles/mueller-sabine/","26","26","0"
"Simon Freund","https://artaurea.de/profiles/freund-simon/","17","17","0"
"Sofia Beilharz","https://artaurea.de/profiles/beilharz-sofia/","28","28","0"
"Susanna Kuschek","https://artaurea.de/profiles/kuschek-susanna/","20","20","0"
"Tanja Friedrichs","https://artaurea.de/profiles/friedrichs-tanja/","20","19","0"
"Tomáš Hlavička","https://artaurea.de/profiles/hlavicka-tomas/","6","6","0"
"Ulla & Martin Kaufmann","https://artaurea.de/profiles/kaufmann-ulla-martin/","22","22","0"
"Ulrike Isensee","https://artaurea.de/profiles/isensee-ulrike/","21","21","0"
"Ulrike Maeder","https://artaurea.de/profiles/maeder-ulrike/","11","11","0"
"Ute Kathrin Beck","https://artaurea.de/profiles/beck-ute-kathrin-2/","16","16","0"
"burggrafburggraf","https://artaurea.de/profiles/burggrafburggraf/","17","16","0"