Type,Term,Count,Priority
Material,"gold",613,High
Material,"silver",473,High
Material,"silber",417,High
Material,"glass",241,High
Material,"ceramic",181,High
Material,"porcelain",150,High
Material,"porzellan",135,High
Material,"glas",128,High
Material,"steel",111,High
Material,"keramik",89,High
Material,"textile",82,High
Material,"copper",57,High
Material,"silk",53,High
Material,"metal",48,Medium
Material,"textil",44,Medium
Material,"clay",42,Medium
Material,"bronze",41,Medium
Material,"seide",40,Medium
Material,"wool",40,Medium
Material,"platinum",33,Medium
Material,"cotton",33,Medium
Material,"wood",29,Medium
Material,"crystal",27,Medium
Material,"enamel",23,Medium
Material,"metall",21,Medium
Material,"nylon",20,Medium
Material,"fabric",19,Medium
Material,"plastic",16,Medium
Material,"diamond",16,Medium
Material,"agate",16,Medium
Material,"resin",15,Medium
Material,"shell",14,Medium
Material,"holz",13,Medium
Material,"amethyst",13,Medium
Material,"pearl",12,Medium
Material,"brass",12,Medium
Material,"leather",10,Medium
Material,"coral",10,Medium
Material,"perle",10,Medium
Material,"aluminum",8,Low
Material,"polyester",8,Low
Material,"rubber",7,Low
Material,"quartz",7,Low
Material,"iron",7,Low
Material,"onyx",7,Low
Material,"stone",6,Low
Material,"turquoise",5,Low
Material,"amber",5,Low
Material,"leder",5,Low
Material,"pewter",5,Low
Material,"bone",5,Low
Material,"opal",5,Low
Material,"titanium",4,Low
Material,"bernstein",4,Low
Material,"linen",4,Low
Medium,"ring",371,High
Medium,"necklace",209,High
Medium,"vase",148,High
Medium,"earrings",142,High
Medium,"vessel",131,High
Medium,"rings",107,High
Medium,"brooch",92,High
Medium,"brosche",92,High
Medium,"gefäß",83,High
Medium,"bowl",81,High
Medium,"ringe",58,High
Medium,"schale",57,High
Medium,"ohrringe",56,High
Medium,"pendant",55,High
Medium,"anhänger",47,Medium
Medium,"light",44,Medium
Medium,"bracelet",43,Medium
Medium,"kette",40,Medium
Medium,"armreif",38,Medium
Medium,"halskette",36,Medium
Medium,"installation",32,Medium
Medium,"bangle",29,Medium
Medium,"lamp",21,Medium
Medium,"chair",19,Medium
Medium,"mirror",18,Medium
Medium,"cup",17,Medium
Medium,"box",16,Medium
Medium,"spiegel",14,Medium
Medium,"plate",13,Medium
Medium,"armband",12,Medium
Medium,"table",10,Medium
Medium,"stuhl",10,Medium
Medium,"container",7,Low
Medium,"teller",6,Low
Medium,"rahmen",4,Low
Medium,"candle",4,Low
Medium,"chandelier",4,Low
Medium,"mug",3,Low